State	Model	DGPost	GDagSlide	RateActivate	RateDeactivate	bubbleLeft	bubbleRight	deltaGDaggerBacktrack	hybridLen	kCat	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	logPrior	chiSquared
9760	1	-3.8796698266	23.8647377466	0.0440816885	0.0599762289	2.0000000000	1.0000000000	3.9288503027	11.0000000000	130.8367056564	0.1020000000	0.0780000000	0.0690000000	0.0580000000	0.0420000000	0.0170000000	0.0200000000	0.0180000000	0.0150000000	0.0200000000	0.0030000000	0.0010000000	0.0030000000	0.0000000000	0.0010000000	0.0020000000	0.0050000000	0.0010000000	0.0030000000	0.0030000000	0.0740000000	0.0590000000	0.0720000000	0.0410000000	0.0370000000	0.0090000000	0.0130000000	0.0140000000	0.0100000000	0.0060000000	0.0050000000	0.0020000000	0.0020000000	0.0030000000	0.0020000000	0.0050000000	0.0020000000	0.0040000000	0.0030000000	0.0040000000	-12.337601	0.068608
9780	1	-3.8796698266	23.8647377466	0.0440816885	0.0599762289	2.0000000000	1.0000000000	3.9288503027	11.0000000000	130.8367056564	0.1020000000	0.0780000000	0.0690000000	0.0580000000	0.0420000000	0.0170000000	0.0200000000	0.0180000000	0.0150000000	0.0200000000	0.0030000000	0.0010000000	0.0030000000	0.0000000000	0.0010000000	0.0020000000	0.0050000000	0.0010000000	0.0030000000	0.0030000000	0.0740000000	0.0590000000	0.0720000000	0.0410000000	0.0370000000	0.0090000000	0.0130000000	0.0140000000	0.0100000000	0.0060000000	0.0050000000	0.0020000000	0.0020000000	0.0030000000	0.0020000000	0.0050000000	0.0020000000	0.0040000000	0.0030000000	0.0040000000	-12.337601	0.068608
9800	1	-3.8796698266	23.8647377466	0.0440816885	0.0599762289	2.0000000000	1.0000000000	3.9288503027	11.0000000000	130.8367056564	0.1020000000	0.0780000000	0.0690000000	0.0580000000	0.0420000000	0.0170000000	0.0200000000	0.0180000000	0.0150000000	0.0200000000	0.0030000000	0.0010000000	0.0030000000	0.0000000000	0.0010000000	0.0020000000	0.0050000000	0.0010000000	0.0030000000	0.0030000000	0.0740000000	0.0590000000	0.0720000000	0.0410000000	0.0370000000	0.0090000000	0.0130000000	0.0140000000	0.0100000000	0.0060000000	0.0050000000	0.0020000000	0.0020000000	0.0030000000	0.0020000000	0.0050000000	0.0020000000	0.0040000000	0.0030000000	0.0040000000	-12.337601	0.068608
9820	1	-3.8796698266	23.8647377466	0.0440816885	0.0599762289	2.0000000000	1.0000000000	3.9288503027	11.0000000000	130.8367056564	0.1020000000	0.0780000000	0.0690000000	0.0580000000	0.0420000000	0.0170000000	0.0200000000	0.0180000000	0.0150000000	0.0200000000	0.0030000000	0.0010000000	0.0030000000	0.0000000000	0.0010000000	0.0020000000	0.0050000000	0.0010000000	0.0030000000	0.0030000000	0.0740000000	0.0590000000	0.0720000000	0.0410000000	0.0370000000	0.0090000000	0.0130000000	0.0140000000	0.0100000000	0.0060000000	0.0050000000	0.0020000000	0.0020000000	0.0030000000	0.0020000000	0.0050000000	0.0020000000	0.0040000000	0.0030000000	0.0040000000	-12.337601	0.068608
9840	1	-3.8796698266	23.8647377466	0.0440816885	0.0599762289	2.0000000000	1.0000000000	3.9288503027	11.0000000000	130.8367056564	0.1020000000	0.0780000000	0.0690000000	0.0580000000	0.0420000000	0.0170000000	0.0200000000	0.0180000000	0.0150000000	0.0200000000	0.0030000000	0.0010000000	0.0030000000	0.0000000000	0.0010000000	0.0020000000	0.0050000000	0.0010000000	0.0030000000	0.0030000000	0.0740000000	0.0590000000	0.0720000000	0.0410000000	0.0370000000	0.0090000000	0.0130000000	0.0140000000	0.0100000000	0.0060000000	0.0050000000	0.0020000000	0.0020000000	0.0030000000	0.0020000000	0.0050000000	0.0020000000	0.0040000000	0.0030000000	0.0040000000	-12.337601	0.068608
9860	1	-3.8796698266	23.8647377466	0.0440816885	0.0599762289	2.0000000000	1.0000000000	3.9288503027	11.0000000000	130.8367056564	0.1020000000	0.0780000000	0.0690000000	0.0580000000	0.0420000000	0.0170000000	0.0200000000	0.0180000000	0.0150000000	0.0200000000	0.0030000000	0.0010000000	0.0030000000	0.0000000000	0.0010000000	0.0020000000	0.0050000000	0.0010000000	0.0030000000	0.0030000000	0.0740000000	0.0590000000	0.0720000000	0.0410000000	0.0370000000	0.0090000000	0.0130000000	0.0140000000	0.0100000000	0.0060000000	0.0050000000	0.0020000000	0.0020000000	0.0030000000	0.0020000000	0.0050000000	0.0020000000	0.0040000000	0.0030000000	0.0040000000	-12.337601	0.068608
9880	1	-3.8796698266	23.8647377466	0.0440816885	0.0599762289	2.0000000000	1.0000000000	3.9288503027	11.0000000000	130.8367056564	0.1110000000	0.0920000000	0.0640000000	0.0630000000	0.0390000000	0.0130000000	0.0050000000	0.0060000000	0.0090000000	0.0110000000	0.0040000000	0.0030000000	0.0010000000	0.0010000000	0.0010000000	0.0030000000	0.0010000000	0.0020000000	0.0020000000	0.0010000000	0.0690000000	0.0530000000	0.0530000000	0.0570000000	0.0350000000	0.0180000000	0.0140000000	0.0080000000	0.0100000000	0.0050000000	0.0040000000	0.0050000000	0.0000000000	0.0020000000	0.0030000000	0.0040000000	0.0040000000	0.0030000000	0.0020000000	0.0010000000	-12.337601	0.058826
9900	1	-3.8796698266	23.8647377466	0.0440816885	0.0599762289	2.0000000000	1.0000000000	3.9288503027	11.0000000000	130.8367056564	0.1110000000	0.0920000000	0.0640000000	0.0630000000	0.0390000000	0.0130000000	0.0050000000	0.0060000000	0.0090000000	0.0110000000	0.0040000000	0.0030000000	0.0010000000	0.0010000000	0.0010000000	0.0030000000	0.0010000000	0.0020000000	0.0020000000	0.0010000000	0.0690000000	0.0530000000	0.0530000000	0.0570000000	0.0350000000	0.0180000000	0.0140000000	0.0080000000	0.0100000000	0.0050000000	0.0040000000	0.0050000000	0.0000000000	0.0020000000	0.0030000000	0.0040000000	0.0040000000	0.0030000000	0.0020000000	0.0010000000	-12.337601	0.058826
9920	1	-3.8796698266	23.8647377466	0.0440816885	0.0599762289	2.0000000000	1.0000000000	3.9288503027	11.0000000000	130.8367056564	0.1110000000	0.0920000000	0.0640000000	0.0630000000	0.0390000000	0.0130000000	0.0050000000	0.0060000000	0.0090000000	0.0110000000	0.0040000000	0.0030000000	0.0010000000	0.0010000000	0.0010000000	0.0030000000	0.0010000000	0.0020000000	0.0020000000	0.0010000000	0.0690000000	0.0530000000	0.0530000000	0.0570000000	0.0350000000	0.0180000000	0.0140000000	0.0080000000	0.0100000000	0.0050000000	0.0040000000	0.0050000000	0.0000000000	0.0020000000	0.0030000000	0.0040000000	0.0040000000	0.0030000000	0.0020000000	0.0010000000	-12.337601	0.058826
9940	1	-3.8796698266	23.7975383558	0.0440816885	0.0599762289	2.0000000000	1.0000000000	6.4952141961	11.0000000000	92.0140903773	0.1330000000	0.1200000000	0.1120000000	0.0780000000	0.0570000000	0.0190000000	0.0170000000	0.0160000000	0.0180000000	0.0030000000	0.0050000000	0.0080000000	0.0020000000	0.0040000000	0.0010000000	0.0040000000	0.0020000000	0.0020000000	0.0000000000	0.0000000000	0.1540000000	0.1280000000	0.0930000000	0.0810000000	0.0560000000	0.0220000000	0.0170000000	0.0130000000	0.0130000000	0.0060000000	0.0050000000	0.0060000000	0.0030000000	0.0000000000	0.0000000000	0.0030000000	0.0060000000	0.0040000000	0.0040000000	0.0040000000	-11.292280	0.072366
