State	Model	DGtau1	DGtaudag	Kdiss(instance0)	Kdiss(instance1)	RateBind	barrierPos	kCat	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	logPrior	rho	
7125000	4	-4.9261765982	8.5697916311	106.7351999693	1.484143583	0.0801759463	1.633172984	126.6455231785	19.9794699633	16.6251833129	14.6902755289	30.8163158344	26.4998638253	23.1619052996	40.2487554245	35.2102661365	31.188820073	49.3625302444	43.3343474181	61.4248867786	54.6971863784	50.6160900658	75.9540082798	69.691171558	64.9439718912	100.4458558277	95.9116107175	92.1369174367	9.431067	4.81223	
7130000	4	-4.9220086496	9.2281497917	102.3935454304	4.7237256138	5.2329261834	2.2275036702	121.5286616339	19.6948161144	16.5797254544	14.6058429474	30.2545883846	25.8684825213	23.1654891123	39.8756806879	34.4540853571	31.0061721101	48.4679333406	43.0195296311	60.4194364022	54.0376761469	49.3457104872	73.913825216	68.2351292051	63.7789518153	96.7695765743	93.1563479917	89.5226275915	8.02627	4.848286	
7135000	4	-5.0534535322	8.2022133954	114.7733803091	2.2472379501	0.0908799486	2.8885936014	127.2357624236	19.3632941396	16.596335052	14.5698217862	30.0109481378	25.9904406057	23.1783809857	39.6778916332	34.7823795762	31.5256173045	48.5742448607	43.3646504239	60.3471395573	55.1524850355	50.0553209273	75.0468590613	69.7641190418	65.2506923056	99.3290370056	96.2420599371	92.5275709466	9.425341	4.774247	
7140000	5	-5.0518553734	8.8192323004	65.1551650797	2.0755120231	1.0862056228	3.2001734123	126.003448053	18.7380622351	16.0610985177	14.0860021899	29.1269915445	25.259390559	22.4858738584	38.4684586762	33.7231982315	30.3799296023	47.3198217308	41.7896905784	58.9362654738	53.5882487245	49.132648514	73.4024085889	68.0020956993	63.8706744424	97.7538632325	93.9580230625	91.0810843879	8.986926	4.737006	
7145000	5	-4.9489917493	8.6071603486	106.7416596362	3.8615664477	1.150221374	1.1789472089	129.0824201106	18.8775647643	16.0374316285	14.0536017762	29.5281849964	25.4371442858	22.5454649587	38.9294755449	33.748274737	30.4227719368	47.6063792747	42.3519268912	60.0948809937	54.0846503909	49.3353388718	75.3100246747	68.8792397637	64.0583501833	100.301951096	95.3769512163	91.9166111208	9.36828	4.795933	
7150000	5	-4.8595933668	8.965010952	90.9243611022	0.7231341378	1.2023607874	2.9035090954	122.2985483695	19.5103035414	16.3007901195	14.1950317779	29.84300737	25.6325276788	22.566635996	39.2412825532	34.3002749306	30.600507123	48.2348326996	42.5011158117	59.6786907122	53.629772081	48.8997151369	73.3387168292	68.0353011541	63.0003207674	97.5037848629	92.7680869427	89.1326228694	8.591438	4.821065	
7155000	4	-4.7795321404	7.9543336352	110.6533392894	2.3360576083	0.0177183825	1.8695337549	131.8746647268	19.1903363246	15.8553687287	13.6889950626	29.8714157495	25.166405439	22.0732412898	39.3051509317	33.9901803052	30.0280506917	48.804266703	42.4996623268	60.83744281	54.2513708523	48.8414453311	76.1114109539	69.2800828158	64.2680253858	102.4818669375	96.9743037683	93.3304873441	8.077547	4.712206	
7160000	4	-4.8173166903	9.2353360364	114.3296715399	4.6281696669	0.0800133036	2.7729091031	131.3150670385	18.8311695492	15.6144819295	13.5800089985	29.3675160394	24.8990206715	21.7631221029	38.5268005276	33.2940890949	29.8272544526	47.62000792	41.7381641938	60.3070035648	53.2250787816	48.4960170018	75.8845657161	68.4356838858	63.7127763572	101.3663007831	95.9479612423	92.2131806746	9.74347	4.831374	
7165000	4	-4.9787746453	9.3136825439	107.9754613565	2.029316805	0.4120439162	0.807002934	123.817099965	19.4834032089	16.5131007327	14.5173903487	30.0444808858	25.8831189571	23.056487507	39.5910537338	34.6179800608	30.960098367	48.304558767	42.7385078558	60.0062682688	54.7530013341	49.8098114919	73.8561339272	69.1592919531	64.2550858496	97.8496509538	93.8030052733	90.4618759185	9.778787	4.725407	
7170000	4	-4.7226140531	8.6032785302	108.1227022245	24.5326048476	0.8259263792	2.5649626672	132.6001291019	19.4740837723	16.0121604044	13.7590584818	30.1832466961	25.067927593	22.130990599	39.9801711029	34.2263640944	30.0729664439	49.0883338521	42.7706705974	61.8584851597	54.5172722861	49.4895247435	76.8664673559	69.9451495437	64.6680242567	103.0568431613	96.8577921907	93.4858403949	8.57599	4.834156	
