State	Model	DGPost	GDagSlide	Kdiss	RateBind	barrierPos	kCat	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	logPrior	chiSquared	
30440000	11	-1.8845979434	5.004313563	93.9468003057	0.2679540765	3.1627153459	25.676114339	6.548409	8.121433	9.78881	12.025001	16.286496	18.109529	19.338388	20.289507	21.186232	22.195467	6.275494	7.731336	9.7117	13.752909	15.626354	16.846074	17.87637	18.667315	19.759568	0.263321	0.520379	1.022522	1.95025	3.588097	7.379341	16.597438	19.546717	21.914922	1.862074	2.500889	4.135777	4.956926	5.604192	6.246194	6.799511	7.545225	0.216413	0.297843	0.510455	0.638002	0.738011	0.83964	0.92728	1.045764	-11.605407	2.384002	
30480000	11	-2.0555529742	4.9939883647	101.6978617938	0.5023721299	3.1955188287	25.7252446673	6.72877	8.211061	9.917857	12.115093	16.424831	18.198055	19.438142	20.292591	21.243777	22.145612	6.451846	7.926795	9.901344	13.91438	15.633381	16.922573	17.843288	18.717649	19.617655	0.251581	0.495019	0.98039	1.87407	3.476231	7.154443	16.329036	19.457818	21.866105	1.932863	2.619069	4.213934	4.975565	5.604049	6.171338	6.679451	7.300992	0.23009	0.31121	0.523312	0.645566	0.733647	0.827315	0.893352	1.001157	-11.943785	2.367273	
30520000	11	-1.9664570201	4.991020343	95.5764144328	0.6715515686	3.2399243059	25.6015802288	6.658298	8.121397	9.850387	12.101727	16.377616	18.203503	19.360895	20.43729	21.103406	22.170786	6.417906	7.813711	9.877784	13.82846	15.688134	16.898656	17.985258	18.764671	19.74835	0.261645	0.518291	1.01332	1.955971	3.601288	7.34515	16.528262	19.560099	21.909414	1.931584	2.577171	4.207404	5.068654	5.713663	6.321679	6.801986	7.55894	0.225825	0.3114	0.525085	0.654559	0.752147	0.855607	0.926546	1.036727	-11.929104	2.385723	
30560000	11	-1.7892490239	4.9857698975	93.9441653911	0.5141827537	3.1427781968	26.1809124625	6.650749	8.143746	9.934279	12.01294	16.434035	18.3423	19.539502	20.669553	21.517911	22.596503	6.252312	7.711914	9.767288	13.770586	15.619826	17.00784	18.04641	18.951496	20.014743	0.263974	0.517441	1.015963	1.951867	3.612204	7.39622	16.676077	19.75137	22.313304	1.764139	2.392199	4.001255	4.903113	5.557461	6.247963	6.825866	7.577365	0.204238	0.280275	0.491492	0.622341	0.718329	0.822428	0.911725	1.055738	-11.662723	2.388891	
30600000	11	-2.0235969658	5.0066694312	102.6871543442	2.1216007752	3.2984798418	25.9241644981	6.430604	8.019764	9.758144	12.044965	16.497578	18.244393	19.590699	20.55048	21.247716	22.270002	6.293556	7.775951	9.778198	13.884904	15.627629	17.010234	17.963444	18.781959	19.810976	0.249882	0.492305	0.966043	1.859161	3.46351	7.137006	16.400124	19.588096	22.183608	1.907507	2.561285	4.121007	4.972691	5.58893	6.169034	6.634374	7.324714	0.224553	0.303747	0.515335	0.634821	0.724368	0.809674	0.886845	0.996956	-12.791346	2.37768	
30640000	11	-1.9579034079	5.012828038	101.4175202026	0.6410324177	3.3520623425	26.032613228	6.295947	7.879193	9.786711	11.922508	16.476409	18.323564	19.535934	20.620703	21.494907	22.557339	6.184452	7.628039	9.636707	13.885865	15.672555	17.002377	18.041014	18.816611	20.001449	0.251161	0.494556	0.97384	1.862178	3.481315	7.148134	16.465414	19.636529	22.124413	1.834887	2.474616	4.035054	4.920838	5.552056	6.172892	6.648855	7.328634	0.215559	0.296914	0.50631	0.625197	0.722865	0.804833	0.886576	0.999849	-11.933266	2.377655	
30680000	11	-1.9645538949	5.0079917483	96.7073624476	0.165620095	3.2948632642	25.7164458195	6.468879	8.031293	9.732175	11.987198	16.384142	18.247365	19.329892	20.381401	21.25885	22.362829	6.307072	7.756771	9.734428	13.905633	15.639068	16.924521	18.00659	18.720338	19.749116	0.258269	0.513667	1.006186	1.940139	3.580228	7.34017	16.539923	19.613552	22.013653	1.902094	2.578639	4.155034	5.062098	5.673159	6.271612	6.813483	7.505065	0.224057	0.306461	0.521366	0.644172	0.744884	0.84127	0.923242	1.033573	-11.703285	2.389126	
30720000	11	-1.9346891459	5.0345590527	94.1657659198	0.0293086141	3.2086334045	25.7325211786	6.484538	8.086368	9.74171	11.93471	16.243838	18.106556	19.352837	20.453393	21.174786	22.225288	6.276445	7.717589	9.720878	13.793415	15.668942	16.831554	17.890797	18.847384	19.888283	0.26343	0.518901	1.029385	1.968334	3.647335	7.406736	16.650764	19.542331	22.008484	1.902691	2.555869	4.181958	5.07852	5.703029	6.349952	6.854806	7.565047	0.225738	0.306343	0.528432	0.655854	0.753344	0.849876	0.933743	1.062609	-12.445638	2.388056	
30760000	11	-2.0115117254	5.0541541959	100.422063327	0.3732169454	3.1583029532	26.0354779925	6.558188	8.090292	9.743182	11.932316	16.307428	18.178297	19.34958	20.441044	21.245097	22.302058	6.292738	7.829323	9.749591	13.852944	15.637465	16.828815	17.924914	18.768333	19.767266	0.256406	0.503281	0.987949	1.906401	3.506433	7.265289	16.484284	19.536075	22.091832	1.923824	2.58275	4.217243	4.999643	5.657824	6.192003	6.727808	7.419642	0.228491	0.31016	0.530395	0.640351	0.740075	0.830136	0.911193	1.022255	-11.779635	2.339417	
30800000	11	-1.9605405339	5.0542387424	96.2636450054	0.2895519824	3.3414292764	25.9625010354	6.257629	7.790453	9.565636	11.857565	16.366045	18.246659	19.521984	20.527326	21.476707	22.430552	6.161528	7.682984	9.692929	13.915354	15.747369	17.062259	18.071998	18.97851	19.966052	0.263427	0.520208	1.013032	1.947565	3.647378	7.408366	16.578766	19.741534	22.255312	1.910178	2.565003	4.182557	5.04353	5.751761	6.352355	6.826171	7.577199	0.227124	0.311169	0.527349	0.656699	0.757012	0.849846	0.928831	1.047678	-11.662726	2.386932	
30840000	11	-1.8841262389	5.0773999227	95.4954613683	0.2518441593	3.0298781044	26.2933906656	6.594644	8.048287	9.713017	11.853997	16.281123	18.029166	19.294209	20.353005	21.173123	22.422019	6.294395	7.673312	9.644748	13.745138	15.561479	16.812238	17.869802	18.901314	20.083488	0.262147	0.524687	1.024858	1.978003	3.625711	7.435295	16.759763	19.656209	22.234637	1.847664	2.486529	4.113192	5.012544	5.666764	6.306899	6.842589	7.595353	0.215447	0.299084	0.516498	0.646919	0.747704	0.847359	0.933551	1.05405	-11.566372	2.386197	
