State	Model	DGtau1	DGtaudag	Kdiss	RateBind	barrierPos	kCat	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	logPrior	chiSquared	
17490000	5	-3.7727308317	2.3018044435	67.0742784031	5.255758393	1.6318128797	123.0652286466	19.977291	16.307223	13.990185	30.946235	25.526768	22.113274	39.947111	34.013995	29.965718	48.806991	42.153979	61.090737	53.212641	48.233451	74.345155	67.907588	62.73174	97.848589	93.148821	89.148169	-11.951267	4.552989	
17500000	5	-3.7674239372	4.0845156089	66.883303453	5.3208004918	1.2013030375	123.8546679777	20.142343	16.377165	13.98176	30.873625	25.67887	22.071435	40.543068	34.268259	29.792823	49.660274	42.605743	61.296152	53.63893	48.559175	75.607884	68.205423	63.329971	97.852771	93.67699	89.837757	-12.638711	4.576154	
17510000	5	-3.777506564	2.7576184359	66.8831561155	5.2001956635	0.896363778	123.8146917453	20.16969	16.335211	14.016657	30.855693	25.373403	22.180055	40.350156	34.140476	30.01793	48.918155	42.795761	61.157053	53.561372	48.811402	75.20339	68.132089	62.583746	98.283314	93.842123	89.361424	-11.950737	4.620535	
17520000	5	-3.7808955612	2.2325118679	67.0186702368	5.0953510862	1.0166819757	123.8015062868	20.121989	16.237913	13.940727	30.555693	25.586393	22.035928	40.11246	34.193478	29.861219	49.171357	42.397568	60.647646	53.770851	48.571874	74.827602	68.343442	62.681667	98.742081	93.497605	89.083547	-11.928805	4.61488	
17530000	5	-3.8030793974	3.3681924165	67.2839297237	4.4412795871	1.016432912	125.840871151	19.659998	15.966853	13.67426	30.199549	25.527115	21.783791	39.674037	33.721844	29.463506	48.497524	42.160924	60.703689	53.326765	48.382755	74.886901	68.347474	62.685701	98.773003	94.327311	89.687164	-11.972482	4.580703	
17540000	5	-3.7946190745	2.7964986449	66.1251834272	4.3506268264	3.164225461	126.2404754981	19.878802	16.289404	13.625191	30.324067	25.082719	21.855084	39.868917	34.069284	29.715951	49.314499	41.97204	61.13695	53.708853	48.143235	75.26387	68.756817	63.185895	99.794688	94.041079	89.424946	-11.756912	4.578013	
17550000	5	-3.8571479709	2.8510274763	71.3783399113	4.5596045123	1.0966128074	128.0845421278	19.663553	16.23368	13.835113	30.517835	25.358868	22.0957	40.213904	34.107531	30.032992	49.092653	42.56002	61.334272	54.15594	48.585383	76.060371	68.703043	63.529397	100.704597	95.691412	91.481154	-11.912844	4.576254	
17560000	5	-3.8288472052	4.2145118443	72.7562532465	5.2628506402	2.395550179	125.6042689442	19.46485	16.215868	13.696907	30.180136	25.25465	21.887554	39.755705	33.948019	29.478514	48.646695	41.753234	60.364122	53.292153	47.894541	75.444362	68.085349	63.099113	98.918231	93.387373	90.318394	-12.834873	4.605861	
17570000	5	-3.9331669845	2.3183076833	73.1251443345	4.1810519942	2.9879234033	128.6845217508	19.552804	16.167863	13.919824	30.228841	25.160213	22.339307	39.684802	34.03922	30.142155	48.892313	42.610487	61.236059	54.411501	49.215481	75.980991	68.693184	63.504069	100.494756	95.553469	92.159235	-11.829771	4.562993	
17580000	5	-4.0492229115	3.1102102313	65.800803398	3.0648641863	3.2018401319	126.5198180048	19.406649	16.298367	14.088511	29.806436	25.642409	22.591518	39.474532	33.963434	30.354075	48.843234	42.468894	60.063291	54.020567	48.968564	74.536478	68.453877	63.372925	99.123123	94.493987	90.937372	-11.509198	4.522171	
17590000	5	-4.0291505124	1.699334557	73.6292411476	3.260139069	0.4427560916	131.3662388406	19.036702	15.839134	13.728646	29.668964	24.863229	22.020698	38.778868	33.647917	29.849845	48.474264	41.921477	60.620266	53.759614	49.124667	75.691868	68.92147	64.063797	101.238439	96.359934	92.912967	-11.776995	4.549621	
