State	Model	DGtau1	DGtaudag	Kdiss	RateBind	barrierPos	kCat	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	logPrior	rho
4078	12	-3.9190672723	4.6035336502	56.4177326029	1.6756125366	3.098946647	28.7128797636	13.105511	14.919182	16.325422	17.631081	21.381168	22.797353	24.050927	24.729113	25.476878	11.813452	12.579954	13.0102	13.433027	13.844988	-14.709242	0.694534
4079	12	-4.7600348511	4.5660788095	58.7654653054	1.6304555085	3.1079798952	28.6149101973	13.452701	15.324475	16.605977	17.900041	21.616498	22.838397	23.979172	24.718128	25.37292	12.1952	12.723693	13.168903	13.520355	13.545814	-16.272916	0.674727
4080	12	-4.6775956161	4.5713172742	54.8494273864	1.3230087675	3.3367658124	28.191371495	12.787829	14.828959	16.192211	17.688191	21.582448	22.67494	23.793191	24.31868	25.098593	11.998608	12.731365	13.025725	13.368956	13.492967	-15.90514	0.6889
4081	12	-4.399240505	4.5600413822	49.4938380018	1.3519333737	3.2086180644	28.0949230534	13.161847	15.086019	16.546916	17.62484	21.571671	22.696661	23.737064	24.504189	25.089397	12.334538	12.911996	13.335324	13.647214	13.915364	-15.337271	0.702441
4082	12	-4.6148397903	4.5868992772	59.2776776642	2.2307402678	3.1794871297	28.3593803457	13.157426	15.082037	16.433428	17.783999	21.461391	22.917953	23.938134	24.723742	25.310731	12.399555	12.879063	13.453632	13.680349	13.988697	-16.245639	0.671715
4083	12	-3.9930939962	4.4974652466	45.6923865365	1.2234484553	3.3996531386	28.0991354351	13.119356	14.960019	16.522321	17.698475	21.83797	22.889755	24.02049	24.562826	25.099397	12.23179	12.852953	13.576133	13.854451	14.075767	-14.570955	0.701719
4084	12	-4.6955744281	4.548286269	50.3386788901	1.2780667923	3.2763143318	27.9263368701	13.077641	14.98076	16.523954	17.639903	21.377176	22.629364	23.828022	24.414405	25.070167	12.255197	12.938424	13.234114	13.507053	13.809436	-15.88375	0.697472
4085	12	-4.3501511735	4.7404661997	44.7246034535	0.9399758998	2.792264894	29.5363208695	13.103367	14.941356	16.029212	17.43604	21.291963	22.580187	23.889368	24.590184	25.432889	12.134494	12.664266	13.090827	13.461933	13.856708	-14.771826	0.661336
4086	12	-4.5701300449	4.5863774906	57.5702432048	1.3141968064	2.9906606445	28.9185556492	13.68407	15.442194	16.739626	18.120666	21.680418	22.986729	24.136133	24.730209	25.301555	11.956481	12.480678	12.938062	13.228081	13.470611	-15.705359	0.691254
4087	12	-3.8464770202	4.6112444814	57.9778152226	1.6648563705	3.0810931616	29.0846096009	13.188889	14.973668	16.338738	17.76033	21.62357	23.178017	24.201242	24.838164	25.760802	11.741544	12.403094	12.970066	13.449448	13.73496	-14.595439	0.672547
4088	12	-4.8143622927	4.6762681385	63.9936892558	2.9711444314	2.8706520823	29.0418487061	13.421713	15.285566	16.664205	17.691547	21.319027	22.901331	23.767461	24.669555	25.238885	12.447089	12.944697	13.411276	13.733058	13.930808	-16.882908	0.688768
4089	12	-4.5219040387	4.6569613198	64.8594364744	2.9296389949	2.8197865565	28.8990010542	13.561954	15.318379	16.548671	17.580713	21.429766	22.681095	23.783495	24.386672	25.237598	12.071225	12.664713	13.209915	13.605803	13.700051	-16.32861	0.671999
4090	12	-5.2747334136	4.6331529126	65.6599961588	1.9078561727	3.2138778772	29.017409479	12.936121	15.004298	16.367918	17.855336	21.544768	23.076546	23.965202	24.792268	25.689433	12.048468	12.675456	13.048001	13.270087	13.48106	-17.490679	0.680802
4091	12	-5.1783769014	4.6735931002	55.4382222995	1.2595627868	3.178519794	29.6847310402	12.961421	14.886019	16.331273	17.878237	21.782558	23.365863	24.486975	25.336361	25.893661	12.388547	12.964001	13.455734	13.72772	13.875612	-16.796741	0.699982
4092	12	-4.4493265999	4.5562016143	52.8688913391	1.4617632742	3.0893766428	28.295060317	13.555756	15.406242	16.443703	18.099931	21.704537	22.596449	23.743381	24.294802	25.2643	12.247892	12.807603	13.31914	13.582531	13.88859	-15.532573	0.694135
