State	Model	DGPost	GDagSlide	Kdiss	RateBind	barrierPos	kCat	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	logPrior	chiSquared	
6700000	12	-4.2908932651	4.5255339319	46.8978557011	1.1791936608	3.3306677018	28.0861751934	12.907542	15.02204	16.447247	17.834628	21.722818	23.052443	23.92955	24.605208	25.154492	12.355986	12.881505	13.273722	13.591376	13.879787	-15.047085	0.660556	
6800000	12	-4.4420069443	4.6221157143	39.723205414	0.9073892159	2.9456129024	27.9846962241	13.424027	15.059478	16.344563	17.525196	21.053056	22.344514	23.466127	23.970099	24.780856	12.12324	12.804746	13.177995	13.551217	13.808326	-14.965428	0.699807	
6900000	12	-4.6128233812	4.6905882472	45.1246221608	0.9323018246	2.9625283259	29.3089964594	13.098786	14.799749	16.287395	17.497951	21.536589	22.830417	23.946575	24.767201	25.638124	12.109375	12.698522	13.219502	13.626438	13.905874	-15.305957	0.686212	
7000000	12	-4.3743423347	4.5580930936	30.3070480342	0.6760664119	3.2015077381	28.709130243	13.53516	15.254884	16.709071	17.780892	21.780661	23.193898	24.238514	24.777213	25.709434	12.343438	12.988837	13.336186	13.738898	14.025665	-14.599828	0.660301	
7100000	12	-4.2348679473	4.6220977198	36.4876303708	0.7367164159	3.1364391269	28.7216566219	12.925985	14.931512	16.24579	17.472138	21.423312	22.758516	23.815812	24.582029	25.34986	11.961166	12.516513	13.135042	13.328394	13.741073	-14.426465	0.703555	
7200000	12	-4.171135092	4.5374046746	47.0317827662	1.2317183651	3.0104780399	27.8479848869	13.569875	15.284548	16.649352	17.820006	21.395128	22.658598	23.543559	24.138417	24.746823	12.168173	12.689287	13.199324	13.574696	13.792177	-14.858065	0.685256	
7300000	12	-3.6774844166	4.5398096762	20.127400801	0.5509799778	3.1427077717	28.3924443373	13.149895	14.993295	16.393053	17.645583	21.546925	22.838549	23.910007	24.521501	25.114949	11.70759	12.427405	13.032247	13.487287	13.848341	-13.192427	0.691318	
7400000	12	-4.130936689	4.6412541785	4.9244601009	0.4256166574	2.9410522836	28.7788200726	13.293108	14.990939	16.456512	17.516852	21.512664	22.709882	23.756084	24.660911	25.233003	12.016623	12.672807	13.141323	13.583169	13.954793	-13.541929	0.687151	
7500000	12	-4.5887782692	4.6252340076	0.7242281315	0.379329203	3.0341725012	28.4772178839	13.158015	15.071954	16.277996	17.642697	21.284276	22.56685	23.688236	24.367791	25.233594	12.101234	12.587677	13.02802	13.386537	13.541393	-15.109694	0.690729	
7600000	12	-4.7688201709	4.6060916971	18.9468485991	0.4910953792	3.1585677624	28.6125917596	13.078188	15.118095	16.427521	17.782529	21.47155	22.730934	23.924448	24.492717	25.333525	12.039762	12.643594	13.106126	13.325976	13.584361	-14.982524	0.693325	
7700000	12	-4.3996909507	4.5905206986	1.5243612503	0.3878778306	3.2549176987	28.9290618923	12.933476	15.034662	16.433664	17.774839	21.783042	23.151135	24.223265	24.891574	25.692324	12.071348	12.783773	13.234037	13.551774	13.770418	-14.359074	0.687626	
7800000	12	-6.2713928514	4.6729911302	0.2871078618	0.3577299354	3.0227052628	29.0052925136	13.161824	15.0536	16.447616	17.596494	21.384746	22.660834	23.807965	24.611636	25.455059	12.233038	12.695898	12.982171	13.319578	13.427943	-19.636342	0.703702	
7900000	12	-6.421525273	4.5620195926	3.8431962949	0.3702368024	3.3115797998	28.9226772887	13.280279	15.160988	16.763636	18.062264	21.87665	23.268472	24.219264	24.934318	25.709002	12.321909	12.741052	13.103946	13.359375	13.523844	-18.644699	0.69204	
8000000	12	-4.6820429747	4.4636468258	1.6108898883	0.3925650544	3.3968255548	27.5671489691	13.382945	15.005778	16.556082	17.983724	21.423801	22.778658	23.615049	24.116047	24.918883	12.298871	12.788331	13.157535	13.474595	13.671172	-15.017636	0.638612	
8100000	12	-4.026535736	4.5849436814	3.3042218752	0.4147410613	3.1524939321	28.7240868278	13.18401	15.013929	16.350737	17.718067	21.737053	22.906301	24.02889	24.84984	25.416417	12.02173	12.659618	13.18414	13.623906	13.942482	-13.469536	0.666137	
