State	Model	DGtau1	DGtaudag	Kdiss	RateBind	barrierPos	kCat	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	logPrior	rho
1154	5	-4.0504726725	1.9679408818	80.2590561634	3.9039884891	1.0327412429	130.0394550103	18.957422	15.837398	13.633077	29.289757	25.118811	21.84397	39.657503	33.94119	30.006873	47.883078	41.908522	60.401293	53.771413	48.939614	74.467201	68.692152	64.586899	100.458831	95.995828	91.936452	-11.940883	4.534137
1155	5	-3.9785986453	3.3379333566	81.0323175289	6.6289347831	1.8220677351	123.4012924534	19.813329	16.351231	14.153358	30.059398	25.851043	22.268744	39.795703	34.731071	30.126228	48.623985	42.734864	61.119108	53.853758	49.233537	75.367691	67.801463	63.425811	98.5773	92.83294	90.830927	-12.634792	4.609134
1156	5	-4.0899219813	3.6598703386	94.5611713726	8.1416862542	2.033257446	128.9441846471	19.586326	16.559384	14.265941	29.994493	25.4932	22.832414	39.67961	34.274617	30.754894	49.573686	42.90634	61.457101	54.344245	50.109864	75.838606	69.856625	64.964985	100.028736	96.813074	91.921758	-13.312218	4.536049
1157	5	-4.22053228	1.5978642031	86.5830690209	4.0407810935	0.344806977	128.5889917873	18.874946	16.328089	14.245184	29.447663	25.662469	22.555273	38.832257	33.770997	30.611265	47.870925	42.609313	60.29251	53.827903	49.237416	74.637708	68.74388	64.698597	99.305236	95.620323	92.025999	-12.231066	4.517544
1158	5	-4.0403125048	0.6458862047	74.672126241	3.6993528698	2.8958571341	129.2429741035	19.379978	16.100966	13.945481	29.988744	25.73554	22.669701	39.471415	34.420679	30.628502	49.021101	42.660766	60.962319	54.440278	49.400237	75.66511	69.147435	63.723265	100.618745	96.425861	93.309141	-12.663355	4.612183
1159	5	-3.9788648252	2.2046608001	60.5877580986	2.7998166457	1.6315989448	128.3244534198	19.392813	16.014767	13.999151	30.084826	25.391483	22.468723	39.481169	33.394417	30.223145	48.71043	42.528585	61.228539	53.908128	48.528043	75.547	69.246012	63.850724	99.534023	95.386098	91.371514	-11.275195	4.551774
1160	5	-4.1322751322	-0.0527028346	78.1951263404	4.0332653165	1.1728813958	124.0765087476	19.301647	16.199893	14.246704	30.008494	25.245491	22.733034	38.620193	33.223563	30.655184	47.734245	42.025299	60.049252	53.634197	48.939119	73.839175	68.0374	63.776925	98.06489	93.194147	90.515154	-13.610632	4.497754
1161	5	-3.7403634415	2.2356803601	67.1154795024	5.1389088783	0.3553074299	126.9593710951	20.278649	16.43821	13.911111	31.209114	25.686934	22.518687	40.228706	34.332352	29.863778	50.17604	42.986289	61.68247	54.202868	48.469256	76.509359	69.25458	62.685317	100.188317	95.885289	91.085409	-11.961984	4.624617
1162	5	-3.7037463047	1.7085303555	69.0136958319	5.2366921633	3.3099908113	127.9754526401	19.972685	15.920503	13.548984	30.463662	24.910428	21.728585	39.965733	33.557062	29.230928	48.766	41.817476	61.557906	53.580558	47.225088	75.784408	68.391561	62.758987	100.108261	94.715938	90.235633	-12.160977	4.513256
1163	5	-3.7493413302	3.3150028933	73.5628513904	7.0797777814	0.6277682722	126.4789487891	20.179	16.455818	13.939309	31.400035	25.80306	21.97524	40.733885	34.642242	30.090143	49.621322	42.920603	61.458554	54.731832	48.271971	76.005523	69.438949	64.00285	99.102634	94.686936	91.060555	-12.611047	4.547556
1164	5	-3.80411045	0.7834745305	77.7927381989	9.548430801	0.3820644292	123.7288797904	20.21318	16.62198	14.090719	31.590769	25.838325	22.397051	40.570235	34.572447	30.149928	49.874036	42.830817	61.62247	53.337586	48.775038	75.833906	67.906592	62.962111	98.787515	94.657313	90.566096	-13.687102	4.566342
1165	5	-3.8207367247	1.1300021702	74.4329678002	5.7050490209	0.2662858963	126.3148478088	19.706886	16.262182	13.747359	30.441763	25.244957	22.213397	40.067971	33.761028	29.620163	48.756225	42.402228	60.405297	54.053129	48.634765	75.092286	68.13958	63.373	99.172146	94.670841	90.772235	-12.673361	4.36641
1166	5	-4.0767263002	1.8640021433	67.6573341068	3.0975314374	2.7401358328	125.179236837	19.165608	16.069514	14.068148	29.830939	25.484028	22.398823	39.167914	33.79477	30.553341	47.70706	42.295267	59.541754	53.537088	49.497538	74.078392	67.889668	63.545916	99.071084	95.299754	90.840448	-11.546055	4.554278
1167	5	-3.9370466538	1.787036965	52.0284488403	2.5275388215	2.1332849767	126.3552281217	19.435307	16.175635	13.97848	29.732925	25.40948	22.208275	39.652504	33.7603	29.936436	48.886752	42.318995	60.131541	53.883932	49.507221	75.257594	68.647278	63.490035	98.991921	95.238498	90.912187	-11.150203	4.486299
1168	5	-4.0012177635	2.7956945538	60.5924943624	2.878596614	2.532395432	127.5314559786	19.966031	16.320324	14.217129	30.613812	26.212907	22.500389	40.039286	34.648923	30.709951	48.553816	42.84486	61.09593	54.245639	49.114711	75.93605	69.354217	64.409337	100.140679	95.133799	91.307955	-11.301891	4.467764
1169	5	-3.8997064765	2.0303900577	55.2761027007	2.6567702136	0.8409322306	127.4616779687	19.254613	16.01375	13.56018	29.860769	24.966619	21.808877	39.285307	33.461892	29.593888	48.36253	42.109321	60.684283	53.084712	47.938025	75.36486	68.299619	62.596902	98.757007	94.556393	91.039823	-11.163918	4.607776
1170	5	-4.3008196837	3.1833445712	41.4238072856	1.6075087636	2.2273826034	126.9464205406	18.869467	16.380337	14.220161	29.138079	25.47242	22.797835	38.51727	33.754334	30.811379	47.728681	42.373487	60.050818	53.845213	49.598138	73.925312	68.711527	64.090062	98.092382	94.827997	92.35167	-10.726242	4.48241
1171	5	-4.1072582143	1.4872539018	57.1434344442	2.5292073534	2.5545774257	124.0140737336	19.499371	16.807232	14.272492	29.934092	25.753517	22.952721	39.350088	34.602511	30.58288	48.508076	42.569216	60.131482	54.667226	49.497718	74.33109	68.632334	64.290008	97.30939	94.410075	91.121802	-11.385018	4.403698
