State	Model	DGtau1	DGtaudag	Kdiss	RateBind	barrierPos	kCat	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	logPrior	rho
1702	11	-2.0081082536	5.0180679303	101.1526586598	0.1365569855	3.2950541326	25.8031425666	6.369092	7.910045	9.775906	11.923042	16.440031	18.143701	19.511901	20.341409	21.259523	22.201683	6.290496	7.750138	9.72968	13.847911	15.633702	16.904955	17.906503	18.746178	19.821866	0.250696	0.498877	0.974978	1.881831	3.476128	7.137721	16.44726	19.49508	22.024482	1.917151	2.582107	4.104507	4.962138	5.572734	6.171776	6.660298	7.343652	0.223645	0.302577	0.515206	0.629965	0.726532	0.817063	0.870265	1.007789	-11.802342	2.358386
1703	11	-2.0068273285	5.0372128868	103.9434583189	0.0849888763	3.2587676259	26.0557126901	6.410838	7.960119	9.668858	11.883937	16.3729	18.177819	19.427012	20.624446	21.362006	22.227033	6.174643	7.658745	9.703859	13.81749	15.593104	16.77924	17.893963	18.755537	19.776853	0.240773	0.491634	0.95567	1.84474	3.428712	7.088571	16.383022	19.582527	22.208556	1.889975	2.498416	4.085079	4.914566	5.521353	6.085509	6.59036	7.243299	0.218261	0.300689	0.505711	0.620736	0.717646	0.799578	0.885928	0.988201	-11.948292	2.385706
1704	11	-2.0681411512	5.0496275076	105.4153581022	0.0016344295	3.3245967742	26.4262395967	6.312282	7.947188	9.620902	11.896054	16.515252	18.429628	19.731083	20.83751	21.644778	22.498894	6.266883	7.759516	9.757349	14.05265	15.85851	17.045847	18.128243	18.968134	20.107459	0.248961	0.493063	0.970172	1.86483	3.464096	7.190382	16.607546	19.752267	22.40962	1.952665	2.615291	4.207733	5.019071	5.590347	6.196815	6.662156	7.340929	0.22993	0.31194	0.524932	0.641231	0.73393	0.819417	0.897609	0.999682	-16.627839	2.380434
1705	11	-2.0690482098	5.0582139893	104.821922894	0.4936199253	3.2096197466	26.1195295988	6.480292	7.989343	9.703946	11.910797	16.37272	18.111834	19.42596	20.46383	21.341763	22.275024	6.266303	7.753325	9.758769	13.800363	15.540663	16.863329	17.884139	18.730262	19.786577	0.248486	0.493645	0.968423	1.854732	3.451616	7.098956	16.423762	19.426592	22.106985	1.956882	2.592336	4.142568	4.981417	5.547573	6.125216	6.605158	7.301843	0.230625	0.31205	0.522439	0.63651	0.732217	0.813493	0.886332	0.992991	-11.935858	2.387343
1706	11	-2.0061436929	5.0828889404	102.8364716939	0.2731353338	3.1066824372	26.2831126514	6.492013	8.038192	9.696494	11.947028	16.196528	18.057613	19.297957	20.454536	21.361871	22.387992	6.30299	7.726072	9.685145	13.664432	15.583104	16.812629	17.866592	18.850586	19.725538	0.243314	0.498965	0.971276	1.887512	3.482648	7.185829	16.429402	19.570278	22.134637	1.913755	2.533056	4.129011	4.973029	5.57071	6.154644	6.67659	7.336117	0.221752	0.304102	0.513912	0.63819	0.722493	0.818753	0.894738	1.00743	-11.73373	2.380959
1707	11	-1.938346516	5.0049073881	101.1402224191	0.2689521027	3.1817787557	26.2661818709	6.526571	8.124076	9.838266	12.114103	16.509161	18.32015	19.597356	20.63601	21.493039	22.46599	6.311607	7.736337	9.665715	13.814184	15.678911	17.011758	18.04606	18.930698	19.973402	0.251772	0.497675	0.980755	1.870644	3.51365	7.217244	16.54506	19.796014	22.280862	1.853383	2.471031	4.073004	4.896332	5.559388	6.156715	6.708895	7.376148	0.214962	0.293212	0.506822	0.622491	0.721907	0.810537	0.893008	1.008424	-11.700142	2.374881
1708	11	-1.994591163	5.0710966457	97.3653556713	0.4772186334	3.1006938494	26.1050453469	6.560629	8.034945	9.739604	11.910748	16.248513	18.078061	19.368018	20.352557	21.300145	22.163565	6.358288	7.86614	9.690165	13.810741	15.684105	16.913483	17.95316	18.766074	19.799831	0.263855	0.523558	1.015939	1.954745	3.617219	7.372317	16.614771	19.606405	22.170987	1.955028	2.6246	4.220634	5.089041	5.746531	6.328686	6.867645	7.576837	0.229089	0.318131	0.537428	0.665348	0.736424	0.852129	0.929526	1.05206	-11.79094	2.367489
1709	11	-2.0456800415	5.0775633258	102.0439439939	0.0056739866	3.2762328831	26.2170496703	6.321857	7.877298	9.47955	11.821028	16.309978	18.230734	19.537138	20.62886	21.432613	22.532643	6.213613	7.693276	9.708674	13.905389	15.658163	16.990889	18.026949	18.962864	19.893267	0.254744	0.506453	0.99157	1.903843	3.544597	7.259793	16.566042	19.671658	22.231745	1.949123	2.623781	4.188034	5.031591	5.68751	6.276154	6.776781	7.448008	0.231555	0.313355	0.529786	0.646295	0.747924	0.827354	0.912027	1.010505	-14.442205	2.382225
1710	11	-2.0599318476	5.0572916657	104.8331610608	0.0681776658	3.3082251673	26.1000599504	6.305663	7.87383	9.523879	11.836287	16.250141	18.208496	19.491165	20.553842	21.332454	22.365129	6.227159	7.627226	9.728138	13.860811	15.684883	16.9994	17.955139	18.783832	19.858598	0.247644	0.493527	0.965246	1.850168	3.44518	7.131379	16.316807	19.553336	22.283481	1.917174	2.581631	4.150868	4.971777	5.579204	6.133783	6.612384	7.282185	0.229686	0.306333	0.519346	0.632451	0.723246	0.8117	0.882841	0.988499	-12.084848	2.37391
1711	11	-2.090350909	5.1216840804	104.0336401382	0.3277961458	3.1441377747	26.1438264501	6.415203	7.868172	9.509784	11.710375	16.123707	17.935967	19.136563	20.294154	21.215701	22.238749	6.275644	7.686769	9.638635	13.710089	15.407634	16.763446	17.85419	18.751812	19.690281	0.25103	0.501656	0.980371	1.878632	3.494949	7.182149	16.349971	19.39448	22.049256	1.964186	2.639992	4.216325	5.00453	5.634738	6.17394	6.656067	7.317182	0.234665	0.32009	0.530314	0.648413	0.738682	0.82068	0.897595	1.002519	-11.823598	2.388022
