State	Model	DGtaudagP	DGtaudag	RateActivate	RateCleave	RateDeactivate	bubbleLeft	bubbleRight	DGtaudagM	hybridLen	logPrior	rho
22	12	2.2804288586	20.6606885665	0.231882983	0.0073335302	0.2993362645	2	0	3.3672394258	11	-20.780268617	0.254701
23	11	5.5946779991	21.6670920755	1.2850633444	0.0006587265	0.2425197884	1	0	4.7887549095	11	-24.896684559	0.254227
24	124	1.4450403976	20.8871577597	0.1371402323	0.2517958071	0.0333280181	0	0	7.3866139929	11	-20.2484792	0.251431
25	43	2.8846937938	20.4476237961	0.0287244762	0.83729197	0.0544777688	0	0	4.5773379163	11	-19.566746307	0.254896
26	12	0.8633202595	20.1930011375	0.285171284	0.0678566313	1.4003410844	3	0	2.9566328402	11	-21.717164953	0.254394
27	123	3.8159656165	19.7548807513	0.4272889016	0.1429029979	0.2265422688	2	0	1.4122068624	11	-20.276374519	0.253865
28	123	3.9145829295	19.6353323587	0.5798678046	0.0324433519	0.2855469747	1	0	6.8990105042	11	-19.932769353	0.253921
29	107	3.1076496714	19.6190922071	0.1135602949	0.7198360191	0.0103609852	3	0	5.2958653007	11	-20.863685746	0.252973
30	59	1.1397291022	21.309271271	0.0484729565	0.1510238437	0.1153279882	0	0	4.0123010068	11	-19.726888036	0.245783
31	12	2.8935700882	21.0008512528	0.1356053412	0.0093240545	0.062391001	2	0	2.0372785798	11	-20.821228013	0.25459
32	75	6.787269554	20.6892732427	0.0261383977	0.0054034432	0.3045861069	2	0	5.0202764001	11	-20.895417106	0.252611
33	44	3.5353827357	19.4951425926	0.0785488118	0.6585342457	4.2009253007	2	0	2.0226009357	11	-22.887206101	0.254534
34	44	2.3677001884	20.6350397152	0.0423065552	0.0137944685	0.2086400978	2	0	6.8417216736	11	-20.301983199	0.252416
35	43	3.1230226836	20.4431070245	0.2797343284	0.2290394896	0.0186563625	2	0	8.1642978773	11	-20.298349846	0.25445
36	59	2.3607200169	20.4857530049	0.0459235817	0.520305165	0.0719552387	0	0	4.6132211116	11	-19.177608211	0.253336
37	43	3.6425293457	20.3106309108	0.359628929	0.0044705339	0.2266710706	3	0	3.0285190046	11	-21.15215175	0.254088
38	124	2.1523467428	20.4885926093	0.2192397346	0.2838697047	0.104267255	3	0	5.5379179989	11	-18.763693181	0.251329
39	44	2.039077607	20.97481227	0.3579550211	0.2215167002	0.1031982537	3	0	4.8544084353	11	-18.762165469	0.254951
40	44	2.878288032	19.8600359828	0.0671121244	0.1632726031	0.0446352513	3	0	4.8722613587	11	-19.065381673	0.249907
41	44	2.9996543694	19.432170218	0.2298444631	0.0168382164	0.7054914106	2	0	7.6785305187	11	-21.605254218	0.253524
42	107	1.0032634058	21.3084320631	0.0020399698	0.0705951648	0.0303151433	3	0	6.1081063496	11	-24.088439503	0.249683
43	43	2.1968409183	20.9743681798	0.6393313481	0.8462443243	0.0842287366	3	0	5.7859707827	11	-19.670324372	0.25477
44	4	4.2642385269	19.5290588091	0.0255464346	0.1107048143	0.4962172653	3	0	0.7411813865	11	-21.816364651	0.252875
45	12	3.5258158224	20.7591909514	0.2142806545	0.1973117765	1.0048511672	2	0	1.0577766016	11	-20.513738353	0.252389
46	44	2.2673161801	20.9919402283	0.1412771065	0.0362799916	0.0526579426	3	0	2.1869975296	11	-19.974116197	0.252332
47	43	2.9644957142	20.1656928607	1.938319432	0.2281877095	0.0666104271	1	0	6.4876927208	11	-20.1592295	0.253921
48	123	2.4161817624	20.5525609163	0.801550848	0.0592312398	0.6131862329	0	0	1.1420838588	11	-21.447097338	0.251302
49	124	3.2896590257	19.4375143304	1.9330216751	0.0456470813	0.4733989708	3	0	8.3423587096	11	-22.402124714	0.249488
50	59	2.1131559477	20.7598312966	0.922315502	0.0507623974	0.2813016773	0	0	7.2722292726	11	-20.191170642	0.252026
51	44	1.9336903225	20.512929793	0.0223269202	3.0611263013	1.1838905386	1	0	4.531688532	11	-22.37779656	0.25442
52	59	3.528879469	19.8755643963	0.7963503704	0.3416472251	0.1180398105	0	0	4.1165525765	11	-19.204023715	0.249658
53	124	2.9117110723	20.1320227854	0.1161103388	2.4061839663	0.2434140664	0	0	6.507455585	11	-20.3644529	0.250243
54	123	3.1754539214	19.524727671	1.1809613691	0.0119784497	0.0233030691	2	0	6.7822827855	11	-22.274675931	0.250215
55	123	1.055449663	21.5770547277	0.0135010096	0.6695932993	0.1972634635	0	0	3.2651485724	11	-21.618837892	0.252779
56	44	1.1177090035	21.4345478914	1.7476106405	0.273664195	0.0253017723	1	0	4.8556380734	11	-21.443836264	0.250465
57	60	2.1993996811	20.5727274491	0.3076815266	0.3262453827	0.0595031764	2	0	4.6141571225	11	-18.944579162	0.254841
58	60	1.5042917578	21.4453208068	0.2232021579	0.5353353685	0.1734085585	2	0	2.3820858236	11	-20.317500604	0.253809
59	60	4.439052808	19.1121492583	0.0810675696	0.2182688157	0.7210097191	2	0	5.6225813522	11	-19.947399054	0.254339
60	43	2.7198454799	20.4795940304	0.3668284874	0.1291724337	0.0129816865	0	0	7.0579833861	11	-20.156931242	0.253113
61	43	0.563792169	21.870114316	1.3245852808	0.0372012415	1.3906276261	3	0	4.6227965453	11	-22.783738392	0.252527
62	43	3.405554643	19.7890927549	0.0052124685	0.0589506407	0.5846400822	0	0	5.4497697252	11	-21.419183908	0.2542
63	123	3.3406243466	19.8296985871	0.2661617568	0.5870916939	0.0299465558	3	0	5.102374625	11	-19.474057846	0.252777
64	44	2.4849960961	20.1421527978	0.3244633196	0.2776183326	0.2864025978	0	0	4.3911678876	11	-18.956741636	0.254422
65	59	2.6446872246	19.9622202153	1.4534941143	0.3715906066	0.0320372048	3	0	5.3479751124	11	-20.463088808	0.25119
66	124	2.9860160251	21.2707283057	1.1236943247	0.2303927029	0.1108767553	1	0	7.4503530523	11	-19.666909019	0.254841
67	107	2.4104979228	20.7782783343	0.3733875493	0.1518654315	0.1157583564	3	0	7.6456512048	11	-19.366477139	0.254004
68	107	3.5989179475	19.6512033636	3.3986896823	0.1024869471	0.1863394061	0	0	9.2677285116	11	-22.996162527	0.254256
69	124	2.9736108271	20.2602319146	0.3039224491	0.1915932823	0.9729767569	3	0	6.3430151151	11	-19.336270993	0.254784
